metaedge	unicode_metaedge	standard_metaedge	abbreviation	standard_abbreviation	source	target	inverted
Compound - binds - Gene	Compound–binds–Gene	Compound - binds - Gene	CbG	CbG	Compound	Gene	0
Compound - treats - Disease	Compound–treats–Disease	Compound - treats - Disease	CtD	CtD	Compound	Disease	0
Disease - associates - Gene	Disease–associates–Gene	Disease - associates - Gene	DaG	DaG	Disease	Gene	0
Disease - treats - Compound	Disease–treats–Compound	Compound - treats - Disease	DtC	CtD	Disease	Compound	1
Gene - associates - Disease	Gene–associates–Disease	Disease - associates - Gene	GaD	DaG	Gene	Disease	1
Gene - binds - Compound	Gene–binds–Compound	Compound - binds - Gene	GbC	CbG	Gene	Compound	1
